Nom,Hauteur,Longueur,Largeur,Type
Mazda MX-5,1230,3915,1735,sportive
Alpine A110,1252,4181,1798,sportive
Toyota GR Supra,1292,4379,1854,sportive
Porsche 718 Cayman,1295,4379,1801,sportive
Audi R8 Coupé,1236,4429,1940,sportive
Audi TT Coupé,1353,4191,1832,sportive
Toyota GR86,1310,4265,1775,sportive
Aston-Martin vantage Coupé,1273,4465,1942,sportive
Jaguar F-Type Coupé,1311,4470,1923,sportive
Honda NSX,1204,4487,1939,sportive
BMW Z4,1304,4324,1864,sportive
Porsche 718 Boxter,1281,4379,1801,sportive
Citroen Ami,1520,2410,1390,citadine
Smart EQ fortow,1555,2695,1663,citadine
Citroen C1,1460,3466,1615,citadine
Peugeot 108,1450,3470,1620,citadine
Kia Picanto,1485,3595,1595,citadine
Volkswagen up,1504,3600,1645,citadine
Renault Twingo,1541,3615,1646,citadine
Seat Mii electric,1481,3556,1645,citadine
Fiat 500a,1488,3571,1627,citadine
Fiat 500b,1527,3632,1683,citadine
Hyunday i10,1480,3670,1680,citadine
Fiat Panda,1551,3686,1672,citadine
Mazda CX-60,1680,4745,1890,SUV
Jaguard F-PACE,1664,4747,1936,SUV
Tesla Model Y,1624,4750,1920,SUV
BMW X3,1676,4708,1891,SUV
Ford Mustang Mach-E,1597,4712,1881,SUV
BMW X4,1621,4751,1918,SUV
Land-Rover Defender 110,1967,4758,1996,SUV
Mercedes-Benz EQC,1624,4762,1884,SUV
Volkswagen Tiguan Allspace,1674,4728,1839,SUV
Mercedes-Benz GLC Coupé,1600,4731,1890,SUV
Hyunday Santa Fé,1685,4785,1900,SUV
Land-Rover Range Rover velar,1685,4797,1950,SUV